SampleName	SampleBC	library_name
B1-P2-2	BC02	Plant-2-Progeny-UMIC-seq-1
B1-P2-8	BC08	Plant-2-Progeny-UMIC-seq-1
B1-P2-11	BC11	Plant-2-Progeny-UMIC-seq-1
B1-P2-13	BC13	Plant-2-Progeny-UMIC-seq-1
B1-P2-20	BC20	Plant-2-Progeny-UMIC-seq-1
B1-P3-10	BC30	Plant-2-Progeny-UMIC-seq-1
B1-P3-11	BC31	Plant-2-Progeny-UMIC-seq-1
B1-P3-13	BC33	Plant-2-Progeny-UMIC-seq-1
B1-P3-14	BC34	Plant-2-Progeny-UMIC-seq-1
B1-2-P2-9	BC45	Plant-2-Progeny-UMIC-seq-1
B1-2-P2-12	BC48	Plant-2-Progeny-UMIC-seq-1
B1-2-P3-4	BC53	Plant-2-Progeny-UMIC-seq-1
B1-2-P3-9	BC58	Plant-2-Progeny-UMIC-seq-1
B1-2-P3-12	BC61	Plant-2-Progeny-UMIC-seq-1
B1-2-P3-13	BC62	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-4	BC66	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-7	BC69	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-9	BC71	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-11	BC73	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-13	BC75	Plant-2-Progeny-UMIC-seq-1
B1-1-P1-14	BC76	Plant-2-Progeny-UMIC-seq-1
B1-1-P2-4	BC04	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-6	BC06	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-7	BC07	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-9	BC09	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-11	BC11	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-12	BC12	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-15	BC15	Plant-2-Progeny-UMIC-seq-2
B1-1-P2-18	BC18	Plant-2-Progeny-UMIC-seq-2
B2-P2-2	BC20	Plant-2-Progeny-UMIC-seq-2
B2-P2-3	BC21	Plant-2-Progeny-UMIC-seq-2
B2-P2-9	BC27	Plant-2-Progeny-UMIC-seq-2
B2-P3-1	BC29	Plant-2-Progeny-UMIC-seq-2
B2-P3-3	BC31	Plant-2-Progeny-UMIC-seq-2
B2-P3-5	BC33	Plant-2-Progeny-UMIC-seq-2
B2-P3-8	BC36	Plant-2-Progeny-UMIC-seq-2
B2-P3-9	BC37	Plant-2-Progeny-UMIC-seq-2
B2-2-P1-4	BC41	Plant-2-Progeny-UMIC-seq-2
B2-2-P1-6	BC43	Plant-2-Progeny-UMIC-seq-2
B2-2-P1-12	BC49	Plant-2-Progeny-UMIC-seq-2
B2-2-P2-6	BC55	Plant-2-Progeny-UMIC-seq-2
B2-2-P2-9	BC58	Plant-2-Progeny-UMIC-seq-2
B2-1-P1-10	BC68	Plant-2-Progeny-UMIC-seq-2
B2-1-P1-11	BC69	Plant-2-Progeny-UMIC-seq-2
B2-1-P2-8	BC08	Plant-2-Progeny-UMIC-seq-3
B3-P2-3	BC15	Plant-2-Progeny-UMIC-seq-3
B3-P2-6	BC18	Plant-2-Progeny-UMIC-seq-3
B3-P3-2	BC24	Plant-2-Progeny-UMIC-seq-3
B3-P3-9	BC31	Plant-2-Progeny-UMIC-seq-3
B3-P3-11	BC33	Plant-2-Progeny-UMIC-seq-3
B4-P2-1	BC47	Plant-2-Progeny-UMIC-seq-3
B4-P2-3	BC49	Plant-2-Progeny-UMIC-seq-3
B4-P2-6	BC52	Plant-2-Progeny-UMIC-seq-3
B4-P2-10	BC56	Plant-2-Progeny-UMIC-seq-3
B4-P2-13	BC59	Plant-2-Progeny-UMIC-seq-3
