SampleName	SampleBC	library_name
RL8	BC01	Plant-3-Leaf-UMIC-seq-1
RL9	BC02	Plant-3-Leaf-UMIC-seq-1
RL11	BC04	Plant-3-Leaf-UMIC-seq-1
RL12	BC05	Plant-3-Leaf-UMIC-seq-1
RL13	BC06	Plant-3-Leaf-UMIC-seq-1
B1-4-CL2	BC32	Plant-3-Leaf-UMIC-seq-1
B1-3-CL1	BC39	Plant-3-Leaf-UMIC-seq-1
B1-3-CL3	BC45	Plant-3-Leaf-UMIC-seq-1
B1-CL2	BC56	Plant-3-Leaf-UMIC-seq-1
B1-2-CL1	BC57	Plant-3-Leaf-UMIC-seq-1
B1-2-CL2	BC60	Plant-3-Leaf-UMIC-seq-1
B1-2-CL3	BC63	Plant-3-Leaf-UMIC-seq-1
B1-CL1	BC73	Plant-3-Leaf-UMIC-seq-1
B1-1-CL1	BC74	Plant-3-Leaf-UMIC-seq-1
B1-1-CL2	BC77	Plant-3-Leaf-UMIC-seq-1
B1-1-CL3	BC01	Plant-3-Leaf-UMIC-seq-2
B2-CL6	BC13	Plant-3-Leaf-UMIC-seq-2
B2-6-CL1	BC14	Plant-3-Leaf-UMIC-seq-2
B2-4-CL3	BC35	Plant-3-Leaf-UMIC-seq-2
B2-CL3	BC39	Plant-3-Leaf-UMIC-seq-2
B2-3-CL1	BC40	Plant-3-Leaf-UMIC-seq-2
B2-3-CL3	BC42	Plant-3-Leaf-UMIC-seq-2
B2-CL1	BC51	Plant-3-Leaf-UMIC-seq-2
B3-CL6	BC60	Plant-3-Leaf-UMIC-seq-2
B3-5-CL2	BC65	Plant-3-Leaf-UMIC-seq-2
B3-CL2	BC76	Plant-3-Leaf-UMIC-seq-2
